"RI=697.3,   8.1231 min MOSS-2-23",,0.0053,0.00964,0.00556,0.011,0.00648,0.00644,0.00861,0.00788,0.00968,,0.0103,0.0163,0.00854,0.0123,0.00882,0.00857,0.00499,0.0382,0.00731,0.0271,0.0102,0.0241,0.00606,0.00771,0.00632,0.0122,0.00627,
"RI=746.5,   8.7401 min MOSS-4",,,,0.00934,,,,,,,,,,,,,,,,,,,,,,,,,
"RI=767.1,   8.9987 min MOSS-2-23",,,,,,,,,,,,,0.00535,,,,,,,,,,,,,,,,
"RI=811.9,   9.5615 min MOSS-4",,0.00828,0.0116,0.0074,0.00821,0.00539,0.00768,0.0108,0.00964,0.00849,,0.00932,0.0121,0.00988,0.0104,0.0429,0.0232,0.0181,0.0307,0.0118,0.0157,0.0117,0.014,0.0136,0.0272,0.0222,0.0249,0.0331,0.00707
"RI=835.7,   9.8600 min MOSS-4",,0.0143,,0.0068,,0.00972,0.0159,,,,,0.0148,0.00563,0.0944,,,,,,,,,,,,,,,
"RI=841.2,   9.9285 min MOSS-4",0.0218,0.0144,0.0199,0.0184,0.027,0.0206,0.0191,0.0251,0.021,0.0218,0.0223,0.0309,0.0234,0.0185,0.028,0.0201,0.0211,0.011,0.0262,0.0187,0.0228,0.0214,0.0185,0.0221,0.0186,0.0181,0.0295,0.019,0.00696
"RI=874.6,  10.3487 min MOSS-2-15",1.58,2.28,2.89,1.89,2.19,1.95,2.98,1.92,2.21,2.6,2.73,2.15,3.57,6.41,4.7,1.82,5.65,4.07,8.31,1.65,4.16,3.59,11.8,2.46,4.28,1.11,2.29,1.72,1.11
S 2810,,0.00429,0.0165,0.0166,,0.0128,0.00573,,,0.00489,,0.0215,0.0116,0.0169,0.00645,,,0.0102,0.00871,,,,0.015,,,,,,
STD nC23,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
stigmasterol,,0.342,0.301,0.22,0.137,0.242,0.342,0.168,0.184,0.208,,0.337,0.134,0.505,0.191,,,0.0578,0.134,0.164,,,0.184,0.151,0.155,0.183,,0.113,
